Day,Hour,Month,Precip In,RH,Station,Temp F,Wind Dir,Wind Spd MPH,Year
23,13,9,0,49.23,MSP,71.06,140,14.95,2013
30,13,9,0,41.21,MSP,73.94,170,16.1,2013
3,14,9,0,46.04,MSP,73.04,0,3.45,2013
12,14,9,0,37.95,MSP,71.96,360,14.95,2013
23,14,9,0,49.36,MSP,71.96,140,17.25,2013
3,15,9,0,46.04,MSP,73.04,200,3.45,2013
12,15,9,0,32.77,MSP,73.04,350,17.25,2013
2,16,9,0,58.53,MSP,66.02,320,5.75,2013
9,16,9,0,47.36,MSP,91.94,220,13.8,2013
23,17,9,0,42.91,MSP,73.94,140,16.1,2013
27,17,9,0,46.03,MSP,82.94,160,14.95,2013
27,18,9,0,44.29,MSP,82.94,150,12.65,2013
27,19,9,0,50.68,MSP,80.96,150,16.1,2013
28,19,9,0,64.22,MSP,59,250,5.75,2013
1,20,9,0,59.06,MSP,69.98,350,13.8,2013
27,20,9,0,54.08,MSP,78.98,140,16.1,2013
3,21,9,0,59.32,MSP,71.96,240,3.45,2013
27,21,9,0,59.84,MSP,75.92,130,12.65,2013
27,22,9,0,57.96,MSP,75.92,150,13.8,2013
19,23,9,0,87.05,MSP,66.02,280,8.05,2013
27,23,9,0,57.47,MSP,75.02,150,13.8,2013
1,0,10,0,47.13,MSP,69.98,190,11.5,2013
29,0,10,0,66.34,MSP,30.92,350,3.45,2013
1,1,10,0,49.07,MSP,69.98,190,12.65,2013
20,1,10,0,88.42,MSP,33.98,0,0,2013
25,1,10,0,75.58,MSP,37.94,280,3.45,2013
1,2,10,0,50.6,MSP,69.08,200,11.5,2013
17,2,10,0,72.78,MSP,42.08,200,3.45,2013
19,2,10,0,82.09,MSP,41,220,6.9,2013
25,2,10,0,75.58,MSP,37.94,260,3.45,2013
1,3,10,0,50.6,MSP,69.08,190,8.05,2013
17,3,10,0,78.74,MSP,42.08,0,0,2013
21,0,1,0,64.65,MSP,-2.02,300,13.8,2013
31,1,1,0,79.17,MSP,5,310,16.1,2013
17,2,1,0,52.85,MSP,10.94,330,10.35,2013
18,9,1,0,84.8,MSP,26.96,140,8.05,2013
20,9,1,0,68.45,MSP,-0.04,300,6.9,2013
20,10,1,0,65.08,MSP,1.04,300,9.2,2013
8,11,1,0,84.1,MSP,26.06,120,11.5,2013
12,11,1,0,65.05,MSP,14,250,15.33,2013
19,12,1,0,72.87,MSP,37.94,280,13.8,2013
18,15,1,0,59.65,MSP,41,250,10.35,2013
12,18,1,0,70.75,MSP,8.78,270,14.38,2013
5,22,1,0,87.53,MSP,17.06,300,8.05,2013
7,22,1,0,81.8,MSP,28.94,230,3.45,2013
8,23,1,0,81.95,MSP,30.92,250,9.2,2013
15,5,2,0,72.56,MSP,8.96,300,8.05,2013
6,7,2,0,91.37,MSP,6.98,0,3.45,2013
16,8,2,0,86.09,MSP,4.46,260,4.03,2013
17,8,2,0,76.59,MSP,12.02,140,5.75,2013
12,11,2,0,71.26,MSP,28.04,200,8.05,2013
17,12,2,0,65.21,MSP,26.06,150,14.95,2013
1,14,2,0,58.58,MSP,-2.02,0,3.45,2013
2,14,2,0,68.89,MSP,8.06,0,6.9,2013
17,14,2,0,60.97,MSP,30.92,150,14.95,2013
12,21,2,0,74.5,MSP,26.96,270,9.2,2013
6,23,2,0,91.91,MSP,21.02,30,4.6,2013
1,4,10,0,52.67,MSP,69.08,200,10.35,2013
7,4,10,0,92.72,MSP,44.96,190,3.45,2013
11,4,10,0,77.92,MSP,57.92,120,8.05,2013
17,4,10,0,78.74,MSP,42.08,0,0,2013
19,4,10,0,89.25,MSP,37.94,220,6.9,2013
25,4,10,0,81.72,MSP,35.96,220,5.75,2013
1,5,10,0,52.67,MSP,69.08,220,14.95,2013
11,5,10,0,77.92,MSP,57.92,130,11.5,2013
14,5,10,0,76.25,MSP,44.96,90,6.9,2013
19,5,10,0,89.25,MSP,37.94,220,8.05,2013
10,6,10,0,76.88,MSP,51.98,120,5.75,2013
11,6,10,0,80.49,MSP,57.02,130,12.65,2013
12,6,10,0,76.8,MSP,51.08,180,10.35,2013
17,6,10,0,82.17,MSP,42.08,220,3.45,2013
19,6,10,0,88.57,MSP,37.04,0,5.75,2013
9,7,10,0,62.33,MSP,60.98,0,6.9,2013
